"training/epoch","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - _step__MAX"
"12","","","","","","","0.2127432193888133","0.2127432193888133","0.2127432193888133","17","17","17","0.24012237062109984","0.24012237062109984","0.24012237062109984","16","16","16","0.2599492257378666","0.2599492257378666","0.2599492257378666","17","17","17","0.2690491658449173","0.2690491658449173","0.2690491658449173","17","17","17"
"13","","","","","","","0.2071982580528596","0.2071982580528596","0.2071982580528596","18","18","18","0.23760363965589096","0.23760363965589096","0.23760363965589096","17","17","17","0.2523037207772933","0.2523037207772933","0.2523037207772933","18","18","18","0.264877574801445","0.264877574801445","0.264877574801445","18","18","18"
"14","","","","","","","0.20276963481168303","0.20276963481168303","0.20276963481168303","19","19","19","0.23438355326652527","0.23438355326652527","0.23438355326652527","18","18","18","0.24568838126448742","0.24568838126448742","0.24568838126448742","19","19","19","0.2610158612728119","0.2610158612728119","0.2610158612728119","19","19","19"
"15","","","","","","","0.2012169108057864","0.2012169108057864","0.2012169108057864","20","20","20","0.23057824154110515","0.23057824154110515","0.23057824154110515","19","19","19","0.24508701635891175","0.24508701635891175","0.24508701635891175","20","20","20","0.2571800677776337","0.2571800677776337","0.2571800677776337","20","20","20"
"16","","","","","","","0.19591278308945712","0.19591278308945712","0.19591278308945712","21","21","21","0.2284362418128845","0.2284362418128845","0.2284362418128845","20","20","20","0.246557010704255","0.246557010704255","0.246557010704255","21","21","21","0.256520409822464","0.256520409822464","0.256520409822464","21","21","21"
"17","","","","","","","0.19324618374650782","0.19324618374650782","0.19324618374650782","22","22","22","0.22496921206540602","0.22496921206540602","0.22496921206540602","21","21","21","0.24007027784743942","0.24007027784743942","0.24007027784743942","22","22","22","0.2610479906797409","0.2610479906797409","0.2610479906797409","22","22","22"
"18","","","","","","","0.19416360796263282","0.19416360796263282","0.19416360796263282","23","23","23","0.21989621863486294","0.21989621863486294","0.21989621863486294","22","22","22","0.2396979865778881","0.2396979865778881","0.2396979865778881","23","23","23","0.25555534064769747","0.25555534064769747","0.25555534064769747","23","23","23"
"19","","","","","","","","","","","","","0.21579652502734392","0.21579652502734392","0.21579652502734392","23","23","23","0.23599392941677905","0.23599392941677905","0.23599392941677905","24","24","24","0.25445728421211244","0.25445728421211244","0.25445728421211244","24","24","24"
"20","","","","","","","","","","","","","0.2130556483877534","0.2130556483877534","0.2130556483877534","24","24","24","0.23458494000645527","0.23458494000645527","0.23458494000645527","25","25","25","0.24992476677894593","0.24992476677894593","0.24992476677894593","25","25","25"
"21","","","","","","","","","","","","","0.21032270573995968","0.21032270573995968","0.21032270573995968","25","25","25","0.2302277615391107","0.2302277615391107","0.2302277615391107","26","26","26","0.25291738045215606","0.25291738045215606","0.25291738045215606","26","26","26"
