"Step","target-coordinate_head-mlp1024-768-512_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-mlp1024-768-512_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-mlp1024-768-512_lr-1e-3_epoch-50 - train_loss__MAX","target-coordinate_head-mlp768-512-256_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-mlp768-512-256_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-mlp768-512-256_lr-1e-3_epoch-50 - train_loss__MAX","target-coordinate_head-mlp768-768-512_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-mlp768-768-512_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-mlp768-768-512_lr-1e-3_epoch-50 - train_loss__MAX","target-coordinate_head-mlp768-768-768_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-mlp768-768-768_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-mlp768-768-768_lr-1e-3_epoch-50 - train_loss__MAX","target-coordinate_head-mlp1024-768_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-mlp1024-768_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-mlp1024-768_lr-1e-3_epoch-50 - train_loss__MAX","target-coordinate_head-mlp1024-512_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-mlp1024-512_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-mlp1024-512_lr-1e-3_epoch-50 - train_loss__MAX","target-coordinate_head-mlp1024_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-mlp1024_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-mlp1024_lr-1e-3_epoch-50 - train_loss__MAX","target-coordinate_head-mlp1024-256_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-mlp1024-256_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-mlp1024-256_lr-1e-3_epoch-50 - train_loss__MAX","target-coordinate_head-mlp768-768_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-mlp768-768_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-mlp768-768_lr-1e-3_epoch-50 - train_loss__MAX","target-coordinate_head-mlp768-512_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-mlp768-512_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-mlp768-512_lr-1e-3_epoch-50 - train_loss__MAX","target-coordinate_head-mlp768-256_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-mlp768-256_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-mlp768-256_lr-1e-3_epoch-50 - train_loss__MAX","target-coordinate_head-mlp512-256_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-mlp512-256_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-mlp512-256_lr-1e-3_epoch-50 - train_loss__MAX","target-coordinate_head-mlp768_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-mlp768_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-mlp768_lr-1e-3_epoch-50 - train_loss__MAX","target-coordinate_head-linear_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-linear_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-linear_lr-1e-3_epoch-50 - train_loss__MAX","target-coordinate_head-mlp256_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-mlp256_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-mlp256_lr-1e-3_epoch-50 - train_loss__MAX","target-coordinate_head-mlp512_lr-1e-3_epoch-50 - train_loss","target-coordinate_head-mlp512_lr-1e-3_epoch-50 - train_loss__MIN","target-coordinate_head-mlp512_lr-1e-3_epoch-50 - train_loss__MAX"
"1","0.5946072399717247","0.5946072399717247","0.5946072399717247","0.6064783001188458","0.6064783001188458","0.6064783001188458","0.6039686929870594","0.6039686929870594","0.6039686929870594","0.6020713496595754","0.6020713496595754","0.6020713496595754","0.5882680001908579","0.5882680001908579","0.5882680001908579","0.5942959159524743","0.5942959159524743","0.5942959159524743","0.6008037569450583","0.6008037569450583","0.6008037569450583","0.5943515277781265","0.5943515277781265","0.5943515277781265","0.5788835416718227","0.5788835416718227","0.5788835416718227","0.5914328232616128","0.5914328232616128","0.5914328232616128","0.59546629418531","0.59546629418531","0.59546629418531","0.6014452507710162","0.6014452507710162","0.6014452507710162","0.6088812989714395","0.6088812989714395","0.6088812989714395","0.7964631724041868","0.7964631724041868","0.7964631724041868","0.6313946196074196","0.6313946196074196","0.6313946196074196","0.6159375835473588","0.6159375835473588","0.6159375835473588"
"2","0.4718380634494251","0.4718380634494251","0.4718380634494251","0.48375989301336514","0.48375989301336514","0.48375989301336514","0.47353968494679005","0.47353968494679005","0.47353968494679005","0.4738079463029726","0.4738079463029726","0.4738079463029726","0.47198749079749475","0.47198749079749475","0.47198749079749475","0.47485699042091484","0.47485699042091484","0.47485699042091484","0.49273025010898497","0.49273025010898497","0.49273025010898497","0.4746493863040412","0.4746493863040412","0.4746493863040412","0.46781314809668173","0.46781314809668173","0.46781314809668173","0.4748395318976157","0.4748395318976157","0.4748395318976157","0.47832664575780587","0.47832664575780587","0.47832664575780587","0.487225511644113","0.487225511644113","0.487225511644113","0.5033972068843903","0.5033972068843903","0.5033972068843903","0.665447262031079","0.665447262031079","0.665447262031079","0.5240153824363524","0.5240153824363524","0.5240153824363524","0.5177723053581618","0.5177723053581618","0.5177723053581618"
"3","0.41417245489313637","0.41417245489313637","0.41417245489313637","0.4223307924015347","0.4223307924015347","0.4223307924015347","0.41162858662022894","0.41162858662022894","0.41162858662022894","0.4099738868434483","0.4099738868434483","0.4099738868434483","0.4147127172086959","0.4147127172086959","0.4147127172086959","0.4186460679495304","0.4186460679495304","0.4186460679495304","0.4519537465275924","0.4519537465275924","0.4519537465275924","0.41737462797085906","0.41737462797085906","0.41737462797085906","0.41203434521896215","0.41203434521896215","0.41203434521896215","0.41826579592542623","0.41826579592542623","0.41826579592542623","0.42607990234972415","0.42607990234972415","0.42607990234972415","0.43808195096306346","0.43808195096306346","0.43808195096306346","0.4581872837276982","0.4581872837276982","0.4581872837276982","0.6324308621810818","0.6324308621810818","0.6324308621810818","0.4873443611790619","0.4873443611790619","0.4873443611790619","0.4741840040751832","0.4741840040751832","0.4741840040751832"
"4","0.36182203012387243","0.36182203012387243","0.36182203012387243","0.3722232792633802","0.3722232792633802","0.3722232792633802","0.36598019234273554","0.36598019234273554","0.36598019234273554","0.3575563724264096","0.3575563724264096","0.3575563724264096","0.3657395422368866","0.3657395422368866","0.3657395422368866","0.3744217833298445","0.3744217833298445","0.3744217833298445","0.41653124423101257","0.41653124423101257","0.41653124423101257","0.3727043936468522","0.3727043936468522","0.3727043936468522","0.3684357240537028","0.3684357240537028","0.3684357240537028","0.36785624676195755","0.36785624676195755","0.36785624676195755","0.3870360966845959","0.3870360966845959","0.3870360966845959","0.3957652946257108","0.3957652946257108","0.3957652946257108","0.42785859410614496","0.42785859410614496","0.42785859410614496","0.6147859848253413","0.6147859848253413","0.6147859848253413","0.4607604455960595","0.4607604455960595","0.4607604455960595","0.44644313088126575","0.44644313088126575","0.44644313088126575"
"5","0.3139815702964258","0.3139815702964258","0.3139815702964258","0.3279509730372869","0.3279509730372869","0.3279509730372869","0.3299137936289055","0.3299137936289055","0.3299137936289055","0.3167959265600286","0.3167959265600286","0.3167959265600286","0.31940187555820504","0.31940187555820504","0.31940187555820504","0.33267121676603206","0.33267121676603206","0.33267121676603206","0.38984813684125197","0.38984813684125197","0.38984813684125197","0.33134449071102445","0.33134449071102445","0.33134449071102445","0.3287284779850166","0.3287284779850166","0.3287284779850166","0.3208147371661855","0.3208147371661855","0.3208147371661855","0.34471077723129917","0.34471077723129917","0.34471077723129917","0.36189717923578085","0.36189717923578085","0.36189717923578085","0.3988519740618683","0.3988519740618683","0.3988519740618683","0.6026021813722322","0.6026021813722322","0.6026021813722322","0.43741630007376264","0.43741630007376264","0.43741630007376264","0.4201207172527964","0.4201207172527964","0.4201207172527964"
"6","0.2791979550849559","0.2791979550849559","0.2791979550849559","0.29006118802901437","0.29006118802901437","0.29006118802901437","0.28528786301500625","0.28528786301500625","0.28528786301500625","0.2798761967914459","0.2798761967914459","0.2798761967914459","0.2782783042551815","0.2782783042551815","0.2782783042551815","0.28782207374368346","0.28782207374368346","0.28782207374368346","0.3643704199663014","0.3643704199663014","0.3643704199663014","0.2990597155758091","0.2990597155758091","0.2990597155758091","0.2819866251696348","0.2819866251696348","0.2819866251696348","0.28741831543388274","0.28741831543388274","0.28741831543388274","0.31489600707587867","0.31489600707587867","0.31489600707587867","0.3251177190963677","0.3251177190963677","0.3251177190963677","0.37728729976149056","0.37728729976149056","0.37728729976149056","0.5930683870949419","0.5930683870949419","0.5930683870949419","0.4173345710346421","0.4173345710346421","0.4173345710346421","0.40200729507372845","0.40200729507372845","0.40200729507372845"
"7","0.2395238274292092","0.2395238274292092","0.2395238274292092","0.251130080154624","0.251130080154624","0.251130080154624","0.2520015007467703","0.2520015007467703","0.2520015007467703","0.24487305812031238","0.24487305812031238","0.24487305812031238","0.24489612787211898","0.24489612787211898","0.24489612787211898","0.2570046580650335","0.2570046580650335","0.2570046580650335","0.34029124210216466","0.34029124210216466","0.34029124210216466","0.2619524974162495","0.2619524974162495","0.2619524974162495","0.25117843329947614","0.25117843329947614","0.25117843329947614","0.25116047794080565","0.25116047794080565","0.25116047794080565","0.2762484050011041","0.2762484050011041","0.2762484050011041","0.2932807880198971","0.2932807880198971","0.2932807880198971","0.35342337633753457","0.35342337633753457","0.35342337633753457","0.5855919947052888","0.5855919947052888","0.5855919947052888","0.4000418579811087","0.4000418579811087","0.4000418579811087","0.3806869509226408","0.3806869509226408","0.3806869509226408"
"8","0.20652668791878795","0.20652668791878795","0.20652668791878795","0.22237643176782215","0.22237643176782215","0.22237643176782215","0.2212001807519603","0.2212001807519603","0.2212001807519603","0.2114997105522733","0.2114997105522733","0.2114997105522733","0.212189846646574","0.212189846646574","0.212189846646574","0.22790938107496614","0.22790938107496614","0.22790938107496614","0.31991083792341873","0.31991083792341873","0.31991083792341873","0.23371086702211827","0.23371086702211827","0.23371086702211827","0.22596703393344247","0.22596703393344247","0.22596703393344247","0.22188294122599617","0.22188294122599617","0.22188294122599617","0.2505249395786029","0.2505249395786029","0.2505249395786029","0.2657777957512087","0.2657777957512087","0.2657777957512087","0.33383712246205066","0.33383712246205066","0.33383712246205066","0.579511056635509","0.579511056635509","0.579511056635509","0.38545527302866445","0.38545527302866445","0.38545527302866445","0.3617453211878141","0.3617453211878141","0.3617453211878141"
"9","0.18215403968590707","0.18215403968590707","0.18215403968590707","0.19427528774447264","0.19427528774447264","0.19427528774447264","0.19057768325545893","0.19057768325545893","0.19057768325545893","0.18944295009611345","0.18944295009611345","0.18944295009611345","0.1889913228038774","0.1889913228038774","0.1889913228038774","0.1974540601211446","0.1974540601211446","0.1974540601211446","0.3002840035902401","0.3002840035902401","0.3002840035902401","0.20790871525337518","0.20790871525337518","0.20790871525337518","0.19345400639676572","0.19345400639676572","0.19345400639676572","0.1962947790424852","0.1962947790424852","0.1962947790424852","0.2226652398977637","0.2226652398977637","0.2226652398977637","0.2419705008978614","0.2419705008978614","0.2419705008978614","0.31403571228848437","0.31403571228848437","0.31403571228848437","0.5739969759272338","0.5739969759272338","0.5739969759272338","0.36788232174587365","0.36788232174587365","0.36788232174587365","0.34675115083919394","0.34675115083919394","0.34675115083919394"
"10","0.1597158524498221","0.1597158524498221","0.1597158524498221","0.17134582574575669","0.17134582574575669","0.17134582574575669","0.16980965597675338","0.16980965597675338","0.16980965597675338","0.16300982806329142","0.16300982806329142","0.16300982806329142","0.16518125393191935","0.16518125393191935","0.16518125393191935","0.1728915589388867","0.1728915589388867","0.1728915589388867","0.2800219317004183","0.2800219317004183","0.2800219317004183","0.18204854899847986","0.18204854899847986","0.18204854899847986","0.1692609333751835","0.1692609333751835","0.1692609333751835","0.17170540572918644","0.17170540572918644","0.17170540572918644","0.19879110541452102","0.19879110541452102","0.19879110541452102","0.2167851106113299","0.2167851106113299","0.2167851106113299","0.29564529441323706","0.29564529441323706","0.29564529441323706","0.5695711065466956","0.5695711065466956","0.5695711065466956","0.35231659264223486","0.35231659264223486","0.35231659264223486","0.32959201708618385","0.32959201708618385","0.32959201708618385"
